stb->k,time,curX,curY,curZ,refX,refY,refZ,oldX,oldY,oldZ
648,1.62667E+18,-0.069026,-0.005627,0.045123,-0.069026,-0.005627,0.045123,-0.102841,0.055321,0.023822
649,1.62667E+18,-0.062042,0.003003,0.051289,-0.062042,0.003003,0.051289,-0.101881,0.054708,0.024289
650,1.62667E+18,-0.057458,0.012552,0.057512,-0.057458,0.012552,0.057512,-0.100735,0.054069,0.024785
651,1.62667E+18,-0.052638,0.014067,0.059835,-0.052638,0.014067,0.059835,-0.099426,0.053429,0.025299
652,1.62667E+18,-0.048364,0.005897,0.059818,-0.048364,0.005897,0.059818,-0.097991,0.052801,0.025824
653,1.62667E+18,-0.04537,0.001694,0.058026,-0.04537,0.001694,0.058026,-0.096346,0.05215,0.026399
654,1.62667E+18,-0.044297,0.009305,0.054948,-0.044297,0.009305,0.054948,-0.09452,0.051509,0.027014
655,1.62667E+18,-0.041525,0.011964,0.051639,-0.041525,0.011964,0.051639,-0.092556,0.050889,0.027661
656,1.62667E+18,-0.035522,0.006857,0.049975,-0.035522,0.006857,0.049975,-0.090402,0.050274,0.028396
657,1.62667E+18,-0.026678,0.001886,0.052143,-0.026678,0.001886,0.052143,-0.08811,0.0497,0.029206
658,1.62667E+18,-0.018786,0.003853,0.05778,-0.018786,0.003853,0.05778,-0.085735,0.049175,0.030074
659,1.62667E+18,-0.005976,0.009781,0.064402,-0.005976,0.009781,0.064402,-0.083253,0.048708,0.031037
660,1.62667E+18,0.006217,0.011926,0.073454,0.006217,0.011926,0.073454,-0.080758,0.048336,0.032071
661,1.62667E+18,0.015856,0.01351,0.084515,0.015856,0.01351,0.084515,-0.078308,0.048059,0.033157
662,1.62667E+18,0.023094,0.01882,0.098084,0.023094,0.01882,0.098084,-0.075852,0.047875,0.034293
663,1.62667E+18,0.025506,0.030296,0.112978,0.025506,0.030296,0.112978,-0.073515,0.047812,0.035448
664,1.62667E+18,0.021083,0.04482,0.12591,0.021083,0.04482,0.12591,-0.071344,0.047862,0.036605
