time,gyr_x,gyr_y,gyr_z,x_sum,y_sum,z_sum,,,time,oldX
1.63E+18,0.614251,0.850831,0.152996,0.04092406,-0.044312479,-0.081961474,,,1.63E+18,0.050712
1.63E+18,0.527788,0.755239,0.106151,0.047066491,-0.035804278,-0.080431534,,,1.63E+18,0.051366
1.63E+18,0.397185,0.541558,0.086603,0.052344439,-0.028251791,-0.07937001,,,1.63E+18,0.052049
1.63E+18,0.24953,0.280719,0.099327,0.056320203,-0.022830874,-0.078503126,,,1.63E+18,0.052729
1.63E+18,0.118264,-0.008412,0.13556,0.058813044,-0.02002645,-0.077510835,,,1.63E+18,0.053338
1.63E+18,0.027559,-0.266739,0.17469,0.059995669,-0.020110569,-0.076155253,,,1.63E+18,0.053854
1.63E+18,-0.022811,-0.434482,0.194482,0.060271262,-0.022777994,-0.07440833,,,1.63E+18,0.054275
1.63E+18,-0.025045,-0.506128,0.193225,0.060043155,-0.027122758,-0.072463535,,,1.63E+18,0.054399
1.63E+18,-0.012078,-0.457416,0.170047,0.059792702,-0.032184103,-0.070531261,,,1.63E+18,0.054243
1.63E+18,-0.006702,-0.341264,0.142401,0.059671924,-0.036758204,-0.068830812,,,1.63E+18,0.053839
1.63E+18,-0.000017,-0.260682,0.102817,0.059604903,-0.040170888,-0.067406784,,,1.63E+18,0.053106
1.63E+18,0.014504,-0.282708,0.05044,0.059604733,-0.042777674,-0.066378627,,,1.63E+18,0.052076
1.63E+18,0.046618,-0.396242,0.005533,0.059749775,-0.045604791,-0.065874221,,,1.63E+18,0.050803
1.63E+18,0.084142,-0.533896,-0.006231,0.060215949,-0.04956716,-0.065818892,,,1.63E+18,0.049382
1.63E+18,0.107041,-0.628353,0.038293,0.061057379,-0.054906188,-0.065881202,,,1.63E+18,0.047874
1.63E+18,0.111387,-0.639838,0.124093,0.062127776,-0.061189638,-0.065498277,,,1.63E+18,0.046337
1.63E+18,0.121231,-0.612,0.268362,0.06324166,-0.0675881,-0.064257331,,,1.63E+18,0.044948
1.63E+18,0.124302,-0.5876,0.439561,0.064453955,-0.073708021,-0.061573746,,,1.63E+18,0.043769
1.63E+18,0.104266,-0.607863,0.636748,0.06569699,-0.079584097,-0.057178079,,,1.63E+18,0.042818
1.63E+18,0.053878,-0.647604,0.83706,0.066739637,-0.085662649,-0.050810681,,,1.63E+18,0.042121
1.63E+18,0.023161,-0.72679,0.998259,0.067278424,-0.092138772,-0.042439974,,,1.63E+18,0.041715
1.63E+18,0.037594,-0.830497,1.072627,0.067510031,-0.099406579,-0.032457512,,,1.63E+18,0.041582
1.63E+18,0.058085,-0.975534,1.039728,0.067885976,-0.107711655,-0.021731104,,,1.63E+18,0.041588
1.63E+18,0.087354,-0.999882,0.86879,0.068467398,-0.11747661,-0.011323577,,,1.63E+18,0.041746
1.63E+18,0.160343,-0.83411,0.589345,0.069340077,-0.127465575,-0.00264424,,,1.63E+18,0.042028
1.63E+18,0.251397,-0.571438,0.275849,0.070943487,-0.135806568,0.003249135,,,1.63E+18,0.042294
1.63E+18,0.325836,-0.27269,-0.009913,0.073457489,-0.141521021,0.00600766,,,1.63E+18,0.042562
1.63E+18,0.377532,-0.007557,-0.228149,0.076715807,-0.144247886,0.005908532,,,1.63E+18,0.042821
