stb->k,time,curX,curY,curZ,refX,refY,refZ,oldX,oldY,oldZ
119,1626666224266770000,1.311416,0.031410,0.045760,1.311416,0.031410,0.045760,1.528386,0.095459,0.084748
120,1626666224300096000,1.305045,0.035042,0.046171,1.305045,0.035042,0.046171,1.528195,0.099353,0.091721
121,1626666224333422000,1.300920,0.037668,0.045607,1.300920,0.037668,0.045607,1.526933,0.102783,0.098062
122,1626666224366747000,1.299816,0.041219,0.043223,1.299816,0.041219,0.043223,1.523698,0.105965,0.103804
123,1626666224400073000,1.300943,0.043468,0.039859,1.300943,0.043468,0.039859,1.519492,0.108767,0.108952
124,1626666224433399000,1.302629,0.043808,0.036409,1.302629,0.043808,0.036409,1.514786,0.111203,0.113584
125,1626666224466725000,1.303283,0.042478,0.033537,1.303283,0.042478,0.033537,1.509349,0.113367,0.117755
126,1626666224500051000,1.302246,0.041306,0.031083,1.302246,0.041306,0.031083,1.503542,0.115220,0.121441
127,1626666224533376000,1.298582,0.041911,0.028175,1.298582,0.041911,0.028175,1.497574,0.116793,0.124706
128,1626666224566702000,1.293505,0.041293,0.025855,1.293505,0.041293,0.025855,1.487055,0.118087,0.127649
129,1626666224600028000,1.287267,0.041170,0.025425,1.287267,0.041170,0.025425,1.471888,0.119080,0.130271
130,1626666224633354000,1.282566,0.040508,0.026239,1.282566,0.040508,0.026239,1.452523,0.119807,0.132623
131,1626666224666679000,1.280028,0.039891,0.027606,1.280028,0.039891,0.027606,1.418911,0.121061,0.132316
132,1626666224700005000,1.278975,0.041705,0.028669,1.278975,0.041705,0.028669,1.369911,0.122928,0.129359
133,1626666224733331000,1.277655,0.044382,0.028892,1.277655,0.044382,0.028892,1.306436,0.125392,0.124075
134,1626666224766656000,1.275528,0.044528,0.028495,1.275528,0.044528,0.028495,1.230825,0.127054,0.114026
135,1626666224799982000,1.266931,0.046729,0.027054,1.266931,0.046729,0.027054,1.143246,0.127861,0.099603
136,1626666224833308000,1.235821,0.047811,0.022737,1.235821,0.047811,0.022737,1.043388,0.128024,0.081659
137,1626666224866634000,1.149634,0.050585,0.012312,1.149634,0.050585,0.012312,0.930749,0.127331,0.060701
138,1626666224899959000,0.982968,0.062155,-0.011674,0.982968,0.062155,-0.011674,0.803234,0.126224,0.038005
139,1626666224933285000,0.757834,0.072298,-0.052176,0.757834,0.072298,-0.052176,0.664219,0.124800,0.014026
140,1626666224966611000,0.496697,0.082917,-0.102311,0.496697,0.082917,-0.102311,0.517194,0.122974,-0.011193
141,1626666224999937000,0.229581,0.092103,-0.155734,0.229581,0.092103,-0.155734,0.369421,0.120713,-0.037064
142,1626666225033263000,0.017202,0.076398,-0.199868,0.017202,0.076398,-0.199868,0.229133,0.117911,-0.063226
143,1626666225066588000,-0.123524,0.027550,-0.217379,-0.123524,0.027550,-0.217379,0.104224,0.114712,-0.089062
144,1626666225099914000,-0.175727,-0.016678,-0.216702,-0.175727,-0.016678,-0.216702,0.000154,0.111129,-0.113460
145,1626666225133240000,-0.158483,-0.022950,-0.216888,-0.158483,-0.022950,-0.216888,-0.083359,0.107214,-0.136429
146,1626666225166565000,-0.124104,-0.011652,-0.214074,-0.124104,-0.011652,-0.214074,-0.148695,0.103084,-0.158049
147,1626666225199891000,-0.091022,-0.026650,-0.206814,-0.091022,-0.026650,-0.206814,-0.198383,0.098878,-0.178160
148,1626666225233217000,-0.071254,-0.031765,-0.199089,-0.071254,-0.031765,-0.199089,-0.234968,0.094666,-0.196895
149,1626666225266543000,-0.070606,-0.033409,-0.190975,-0.070606,-0.033409,-0.190975,-0.260541,0.090250,-0.214327
150,1626666225299868000,-0.078730,-0.039742,-0.185234,-0.078730,-0.039742,-0.185234,-0.277657,0.085849,-0.230548
151,1626666225333194000,-0.081894,-0.046996,-0.183212,-0.081894,-0.046996,-0.183212,-0.288465,0.081563,-0.245670
152,1626666225366520000,-0.078720,-0.049747,-0.184069,-0.078720,-0.049747,-0.184069,-0.292172,0.076555,-0.256057
153,1626666225399845000,-0.074236,-0.048322,-0.185655,-0.074236,-0.048322,-0.185655,-0.292566,0.070839,-0.261921
154,1626666225433171000,-0.073425,-0.045914,-0.186946,-0.073425,-0.045914,-0.186946,-0.294175,0.064422,-0.263898
155,1626666225466497000,-0.077267,-0.046735,-0.188413,-0.077267,-0.046735,-0.188413,-0.300557,0.057548,-0.262892
156,1626666225499823000,-0.091922,-0.044403,-0.190515,-0.091922,-0.044403,-0.190515,-0.317785,0.050070,-0.259806
157,1626666225533148000,-0.126118,-0.041712,-0.194528,-0.126118,-0.041712,-0.194528,-0.350878,0.041659,-0.255538
158,1626666225566475000,-0.192346,-0.043544,-0.203487,-0.192346,-0.043544,-0.203487,-0.402366,0.031894,-0.251001
159,1626666225599800000,-0.312952,-0.052797,-0.218426,-0.312952,-0.052797,-0.218426,-0.472662,0.020991,-0.246303
160,1626666225633126000,-0.491254,-0.058403,-0.244449,-0.491254,-0.058403,-0.244449,-0.558760,0.009264,-0.241528
