time,gyr_x,gyr_y,gyr_z,x_sum,y_sum,z_sum
1.62667E+18,4.931445,-0.276129,0.127601,1.091454364,-0.060039084,0.040612233
1.62667E+18,4.675528,-0.075032,0.127165,1.140769446,-0.062800409,0.041888259
1.62667E+18,4.38226,0.124058,0.085364,1.187524127,-0.06355072,0.043159893
1.62667E+18,4.126691,0.132104,0.037158,1.231347288,-0.062310124,0.044013544
1.62667E+18,3.830108,0.323479,-0.044907,1.272654871,-0.060987782,0.04438549
1.62667E+18,3.462751,0.411217,-0.112504,1.310918201,-0.05775618,0.043936862
1.62667E+18,2.9428,0.372034,-0.158127,1.345545268,-0.053644062,0.042811837
1.62667E+18,2.353227,0.453437,-0.214047,1.374973645,-0.049923675,0.041230547
1.62667E+18,1.762765,0.557004,-0.27262,1.398505613,-0.045389363,0.039090104
1.62667E+18,1.226024,0.602261,-0.322781,1.416151088,-0.03981369,0.036361147
1.62667E+18,0.749759,0.534507,-0.341456,1.428398931,-0.033797171,0.033136601
1.62667E+18,0.355977,0.405737,-0.353516,1.435896617,-0.028452032,0.029721997
1.62667E+18,0.017628,0.284297,-0.333724,1.439456341,-0.024394714,0.026186883
1.62667E+18,-0.250315,0.215775,-0.30004,1.439632624,-0.021551708,0.0228496
1.62667E+18,-0.45417,0.195931,-0.27262,1.437127006,-0.019391831,0.019846243
1.62667E+18,-0.585994,0.246755,-0.243927,1.432589783,-0.017434452,0.01712273
1.62667E+18,-0.649071,0.316306,-0.224903,1.426729918,-0.014966934,0.014683491
1.62667E+18,-0.660921,0.366362,-0.201743,1.420239125,-0.011803833,0.012434432
1.62667E+18,-0.625648,0.392437,-0.178687,1.413629999,-0.00814026,0.010417028
1.62667E+18,-0.547929,0.399453,-0.161809,1.407367193,-0.004211922,0.008628351
1.62667E+18,-0.458498,0.38008,-0.142873,1.401893443,-0.000221431,0.007011897
1.62667E+18,-0.370376,0.314665,-0.112452,1.397308405,0.003579418,0.005583149
1.62667E+18,-0.262218,0.235777,-0.071209,1.393604692,0.006726027,0.004458643
1.62667E+18,-0.159244,0.187117,-0.036722,1.390982479,0.009083828,0.003746544
1.62667E+18,-0.059044,0.164916,0.00075,1.389388469,0.010956842,0.003378962
1.62667E+18,0.013212,0.172247,0.038886,1.388798611,0.012604376,0.003386455
1.62667E+18,0.066811,0.191114,0.071576,1.388930729,0.014326824,0.00377531
1.62667E+18,0.099868,0.198776,0.097669,1.389598848,0.016237989,0.004491079
1.62667E+18,0.101456,0.153502,0.128194,1.390597515,0.018225723,0.005467757
1.62667E+18,0.090635,0.115401,0.144094,1.391613101,0.019762296,0.006750993
1.62667E+18,0.06367,0.105051,0.153938,1.392518534,0.020915139,0.008190476
