time,gyr_x,gyr_y,gyr_z,x_sum,y_sum,z_sum
1.62667E+18,0.20382,-0.013509,0.005341,-0.017766339,0.000616278,-0.000242043
1.62667E+18,0.303408,-0.017715,0.007906,-0.015728113,0.000481186,-0.000188633
1.62667E+18,0.396574,-0.009529,0.009931,-0.012694072,0.000304038,-0.000109574
1.62667E+18,0.4467,0.003072,0.012968,-0.008728281,0.000208747,-1.02623E-05
1.62667E+18,0.463333,0.008779,0.008674,-0.004261338,0.000239467,0.000119416
1.62667E+18,0.44389,0.024522,0.003892,0.000372051,0.000327258,0.000206157
1.62667E+18,0.366798,0.013998,0.001431,0.004810894,0.000572475,0.000245077
1.62667E+18,0.29222,0.01501,0.004014,0.008478921,0.000712457,0.000259387
1.62667E+18,0.1934,0.003752,0.010804,0.011401084,0.000862555,0.000299526
1.62667E+18,0.108839,0.004171,0.004817,0.013335109,0.000900075,0.000407568
1.62667E+18,0.020612,-0.005969,0.003491,0.014423485,0.000941785,0.000455737
1.62667E+18,-0.045134,-0.0111,0.003246,0.014629607,0.000882094,0.000490648
1.62667E+18,-0.128805,0.001484,-0.001187,0.014178273,0.000771095,0.000523107
1.62667E+18,-0.230244,-0.011188,-0.006475,0.012890207,0.000785936,0.000511237
1.62667E+18,-0.321036,-0.007592,-0.010036,0.010587796,0.000674057,0.000446488
1.62667E+18,-0.395666,-0.012863,-0.005707,0.007377395,0.000598136,0.000346127
1.62667E+18,-0.439963,-0.005899,-0.008535,0.003420786,0.000469508,0.000289057
1.62667E+18,-0.468237,-0.014172,-0.006772,-0.000978901,0.000410517,0.000203706
1.62667E+18,-0.458533,0.003875,-0.009704,-0.005661211,0.000268799,0.000135987
1.62667E+18,-0.422439,-0.016127,-0.003019,-0.010246599,0.000307549,3.89458E-05
1.62667E+18,-0.274907,0,-0.000017,-0.014470935,0.000146281,8.75617E-06
1.62667E+18,-0.136642,0.003613,-0.004294,-0.017220041,0.000146281,8.58617E-06
1.62667E+18,-0.060685,0.004677,-0.007837,-0.018586443,0.000182411,-3.43533E-05
1.62667E+18,0.004381,-0.004381,-0.002269,-0.019193301,0.000229181,-0.000112724
1.62667E+18,0.085416,-0.00555,0.015673,-0.019149491,0.000185372,-0.000135414
1.62667E+18,0.211482,0.005568,0.017226,-0.018295321,0.000129871,2.1318E-05
