time,gyr_x,gyr_y,gyr_z,x_sum,Y_sum,z_sum
1.62667E+18,-0.072117,0.002234,-0.001972,0.004322105,-0.001678664,0.00012366
1.62667E+18,-0.158773,-0.02159,0.000663,0.003600926,-0.001656324,0.00010394
1.62667E+18,-0.128718,-0.009861,0.003002,0.002013216,-0.001872221,0.00011057
1.62667E+18,-0.055816,-0.000122,-0.007924,0.00072602,-0.001970832,0.00014059
1.62667E+18,-0.034296,-0.011345,-0.012689,0.00016731,-0.001972053,6.12719E-05
1.62667E+18,-0.064787,-0.023981,-0.004747,-0.000175312,-0.002085391,-6.5493E-05
1.62667E+18,-0.103515,-0.008046,0.002112,-0.000823174,-0.002325198,-0.000112962
1.62667E+18,-0.073827,0.018291,0.008395,-0.001858337,-0.002405659,-9.18422E-05
1.62667E+18,-0.025691,0.030578,0.002199,-0.002596598,-0.002222752,-7.89324E-06
1.62667E+18,-0.020001,0.015987,0.000995,-0.002853511,-0.001916968,1.4097E-05
1.62667E+18,-0.024033,-0.007138,0.004433,-0.003053519,-0.0017571,2.40469E-05
1.62667E+18,-0.009407,-0.016319,0.006929,-0.003293852,-0.001828481,6.83775E-05
1.62667E+18,0.00082,-0.009338,0.006161,-0.003387921,-0.001991669,0.000137667
1.62667E+18,0.023719,0.001693,-0.002478,-0.00337972,-0.00208505,0.000199277
1.62667E+18,0.042115,0.00014,-0.011432,-0.003142533,-0.00206812,0.000174498
1.62667E+18,0.035413,-0.01117,-0.002985,-0.002721378,-0.00206672,6.01762E-05
1.62667E+18,0.051889,-0.006545,0.007365,-0.002367253,-0.002178419,3.03266E-05
1.62667E+18,0.065293,0.000297,0.00644,-0.001848356,-0.00224387,0.000103978
1.62667E+18,0.069394,0.008255,0.004346,-0.001195434,-0.0022409,0.000168377
1.62667E+18,0.082624,0.013456,0.002077,-0.000501485,-0.002158348,0.000211837
1.62667E+18,0.091996,0.007906,0.002688,0.000324744,-0.00202379,0.000232607
1.62667E+18,0.082257,-0.003875,0.005777,0.001244716,-0.001944729,0.000259487
1.62667E+18,0.091176,-0.007732,0.007383,0.002067275,-0.001983479,0.000317257
1.62667E+18,0.105488,-0.005812,0.001658,0.002979047,-0.0020608,0.000391088
1.62667E+18,0.109589,0.000087,-0.002356,0.004033913,-0.002118919,0.000407667
1.62667E+18,0.090408,-0.003822,-0.001501,0.005129817,-0.002118049,0.000384107
1.62667E+18,0.086045,-0.001187,0.005498,0.006033886,-0.002156268,0.000369097
1.62667E+18,0.099466,0.004503,0.006213,0.006894347,-0.002168139,0.000424078
1.62667E+18,0.091892,0.004765,0.001326,0.007888994,-0.002123109,0.000486207
1.62667E+18,0.073374,0.001606,0.002286,0.008807926,-0.002075459,0.000499467
1.62667E+18,0.061697,0.003229,0.008151,0.009541657,-0.002059399,0.000522327
1.62667E+18,0.053599,0.007557,0.007016,0.010158634,-0.002027108,0.000603838
